id,title,authors,countries,first_year_published,Title
122,Ulysses,James Joyce,Irish,1922.0,ulysses
225,In Search of Lost Time,Marcel Proust,French,1913.0,in search of lost time
190,Don Quixote,Miguel de Cervantes,Spanish,1605.0,don quixote
266,One Hundred Years of Solitude,Gabriel Garcia Marquez,Colombian,1967.0,one hundred years of solitude
38,The Great Gatsby,F. Scott Fitzgerald,American,1925.0,great gatsby
208,Moby Dick,Herman Melville,American,1851.0,moby dick
102,Pride and Prejudice,Jane Austen,British,1813.0,pride and prejudice
50,Lolita,Vladimir Nabokov,American,1955.0,lolita
209,Madame Bovary,Gustave Flaubert,French,1857.0,madame bovary
1156,The Bible,Christian Church,Jewish,1611.0,bible
116,War and Peace,Leo Tolstoy,Russian,1869.0,war and peace
19,The Catcher in the Rye,J. D. Salinger,American,1951.0,catcher in rye
408,The Odyssey,Homer,Greek,-700.0,odyssey
108,Wuthering Heights,Emily Brontë,British,1847.0,wuthering heights
217,The Adventures of Huckleberry Finn,Mark Twain,American,1884.0,adventures of huckleberry finn
211,Alice's Adventures in Wonderland,Lewis Carroll,British,1865.0,alice's adventures in wonderland
329,Crime and Punishment,Fyodor Dostoevsky,Russian,1866.0,crime and punishment
326,The Divine Comedy,Dante Alighieri,Italian,1472.0,divine comedy
64,Nineteen Eighty Four,George Orwell,British,1949.0,nineteen eighty four
36,The Grapes of Wrath,John Steinbeck,American,1939.0,grapes of wrath
215,The Brothers Karamazov,Fyodor Dostoevsky,Russian,1880.0,brothers karamazov
213,Anna Karenina,Leo Tolstoy,Russian,1877.0,anna karenina
135,Heart of Darkness,Joseph Conrad,British,1899.0,heart of darkness
407,The Iliad,Homer,Greek,-700.0,iliad
18,Catch-22,Joseph Heller,American,1961.0,catch-22
91,To Kill a Mockingbird,Harper Lee,American,1960.0,to kill mockingbird
85,The Sound and the Fury,William Faulkner,American,1929.0,sound and fury
47,Invisible Man,Ralph Ellison,American,1952.0,invisible man
92,To the Lighthouse,Virginia Woolf,British,1927.0,to lighthouse
10,Beloved,Toni Morrison,American,1987.0,beloved
322,The Stranger,Albert Camus,French,1946.0,stranger
410,Middlemarch,George Eliot,British,1871.0,middlemarch
258,The Trial,Franz Kafka,Czech,1925.0,trial
193,Gulliver's Travels,Jonathan Swift,British,1726.0,gulliver's travels
56,Midnight's Children,Salman Rushdie,Indian,1981.0,midnight's children
