Title,Author,Rank,Genre
Don Quixote,Miguel de Cervantes,1,action
Alice's Adventures in Wonderland,Lewis Carroll,2,fantasy
The Adventures of Huckleberry Finn,Mark Twain,3,action
The Adventures of Tom Sawyer,Mark Twain,4,action
Treasure Island,Robert Louis Stevenson,5,action
Pride and Prejudice,Jane Austen,6,romance
Wuthering Heights,Emily Brontë,7,gen_fiction
Jane Eyre,Charlotte Brontë,8,romance
Moby Dick,Herman Melville,9,gen_fiction
The Scarlet Letter,Nathaniel Hawthorne,10,gen_fiction
Gulliver's Travels,Jonathan Swift,11,fantasy
The Pilgrim's Progress,John Bunyan,12,allegories
A Christmas Carol,Charles Dickens,13,gen_fiction
David Copperfield,Charles Dickens,14,bildung
A Tale of Two Cities,Charles Dickens,15,history
Little Women,Louisa May Alcott,16,gen_fiction
Great Expectations,Charles Dickens,17,bildung
"The Hobbit, or, There and Back Again",J.R.R. Tolkien,18,fantasy
"Frankenstein, or, the Modern Prometheus",Mary Shelley,19,horror
Oliver Twist,Charles Dickens,20,bildung
Uncle Tom's Cabin,Harriet Beecher Stowe,21,political
Crime and Punishment,Fyodor Dostoyevsky,22,gen_fiction
Madame Bovary: Patterns of Provincial life,Gustave Flaubert,23,gen_fiction
The Return of the King,J.R.R. Tolkien,24,fantasy
Dracula,Bram Stoker,25,gen_fiction
The Three Musketeers,Alexandre Dumas,26,history
Brave New World,Aldous Huxley,27,gen_fiction
War and Peace,Leo Tolstoy,28,history
To Kill a Mockingbird,Harper Lee,29,gen_fiction
The Wizard of Oz,L. Frank Baum,30,fantasy
Les Misérables,Victor Hugo,31,gen_fiction
The Secret Garden,Frances Hodgson Burnett,32,gen_fiction
Animal Farm,George Orwell,33,political
The Great Gatsby,F. Scott Fitzgerald,34,gen_fiction
The Little Prince,Antoine de Saint-Exupéry,35,gen_fiction
The Call of the Wild,Jack London,36,action
"20,000 Leagues Under the Sea",Jules Verne,37,scifi
Anna Karenina,Leo Tolstoy,38,romance
The Wind in the Willows,Kenneth Grahame,39,fantasy
The Picture of Dorian Gray,Oscar Wilde,40,gen_fiction
The Grapes of Wrath,John Steinbeck,41,gen_fiction
Sense and Sensibility,Jane Austen,42,romance
The Last of the Mohicans,James Fenimore Cooper,43,history
Tess of the d'Urbervilles,Thomas Hardy,44,gen_fiction
Harry Potter and the Sorcerer's Stone,J.K. Rowling,45,fantasy
Heidi,Johanna Spyri,46,gen_fiction
Ulysses,James Joyce,47,gen_fiction
The Complete Sherlock Holmes,Arthur Conan Doyle,48,mystery
The Count of Monte Cristo,Alexandre Dumas,49,history
The Old Man and the Sea,Ernest Hemingway,50,allegories
"The Lion, the Witch, and the Wardrobe",C.S. Lewis,51,fantasy
The Hunchback of Notre Dame,Victor Hugo,52,history
Pinocchio,Carlo Collodi,53,gen_fiction
One Hundred Years of Solitude,Gabriel García Márquez,54,gen_fiction
Ivanhoe,Walter Scott,55,history
The Red Badge of Courage,Stephen Crane,56,history
Anne of Green Gables,L.M. Montgomery,57,gen_fiction
Black Beauty,Anna Sewell,58,gen_fiction
Peter Pan,J.M. Barrie,59,fantasy
A Farewell to Arms,Ernest Hemingway,60,war
The House of the Seven Gables,Nathaniel Hawthorne,61,gen_fiction
Lord of the Flies,William Golding,62,gen_fiction
The Prince and the Pauper,Mark Twain,63,history
A Portrait of the Artist as a Young Man,James Joyce,64,bildung
Lord Jim,Joseph Conrad,65,gen_fiction
Harry Potter and the Chamber of Secrets,J.K. Rowling,66,fantasy
The Red & the Black,Stendhal,67,bildung
The Stranger,Albert Camus,68,gen_fiction
The Trial,Franz Kafka,69,allegories
Lady Chatterley's Lover,D.H. Lawrence,70,gen_fiction
Kidnapped: The Adventures of David Balfour,Robert Louis Stevenson,71,history
The Catcher in the Rye,J.D. Salinger,72,bildung
Fahrenheit 451,Ray Bradbury,73,scifi
A Journey to the Center of the Earth,Jules Verne,74,scifi
Vanity Fair,William Makepeace Thackeray,75,gen_fiction
All Quiet on the Western Front,Erich Maria Remarque,76,war
Gone with the Wind,Margaret Mitchell,77,history
My Ántonia,Willa Cather,78,gen_fiction
Of Mice and Men,John Steinbeck,79,gen_fiction
The Vicar of Wakefield,Oliver Goldsmith,80,gen_fiction
A Connecticut Yankee in King Arthur's Court,Mark Twain,81,fantasy
White Fang,Jack London,82,action
Fathers and Sons,Ivan Sergeevich Turgenev,83,gen_fiction
Doctor Zhivago,Boris Leonidovich Pasternak,84,history
The Decameron,Giovanni Boccaccio,85,gen_fiction
Nineteen Eighty-Four,George Orwell,86,political
The Jungle,Upton Sinclair,87,political
The Da Vinci Code,Dan Brown,88,mystery
Persuasion,Jane Austen,89,romance
Mansfield Park,Jane Austen,90,romance
Candide,Voltaire,91,gen_fiction
For Whom the Bell Tolls,Ernest Hemingway,92,war
Far from the Madding Crowd,Thomas Hardy,93,romance
The Fellowship of the Ring,J.R.R. Tolkien,94,fantasy
The Return of the Native,Thomas Hardy,95,romance
Sons and Lovers,D.H. Lawrence,96,gen_fiction
Charlotte's Web,E.B. White,97,fantasy
The Swiss Family Robinson,Johann David Wyss,98,gen_fiction
Bleak House,Charles Dickens,99,gen_fiction
Père Goriot,Honoré de Balzac,100,bildung
Utopia,Thomas More,101,gen_fiction
"The History of Tom Jones, a Foundling",Henry Fielding,102,gen_fiction
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,103,fantasy
Kim,Rudyard Kipling,104,action
The Sound and the Fury,William Faulkner,105,gen_fiction
Harry Potter and the Goblet of Fire,J.K. Rowling,106,fantasy
The Mill on the Floss,George Eliot,107,gen_fiction
A Wrinkle in Time,Madeleine L'Engle,108,scifi
The Hound of the Baskervilles,Arthur Conan Doyle,109,mystery
The Two Towers,J.R.R. Tolkien,110,fantasy
The War of the Worlds,H.G. Wells,111,scifi
Middlemarch,George Eliot,112,gen_fiction
The Age of Innocence,Edith Wharton,113,gen_fiction
The Color Purple,Alice Walker,114,gen_fiction
Northanger Abbey,Jane Austen,115,romance
East of Eden,John Steinbeck,116,gen_fiction
On the Road,Jack Kerouac,117,autobio
Catch-22,Joseph Heller,118,war
Around the World in Eighty Days,Jules Verne,119,action
Hard Times,Charles Dickens,120,gen_fiction
Beloved,Toni Morrison,121,history
Mrs. Dalloway,Virginia Woolf,122,gen_fiction
To the Lighthouse,Virginia Woolf,123,gen_fiction
The Magician's Nephew,C.S. Lewis,124,fantasy
Harry Potter and the Order of the Phoenix,J.K. Rowling,125,fantasy
The Sun Also Rises,Ernest Hemingway,126,history
The Good Earth,Pearl S. Buck,127,gen_fiction
Silas Marner,George Eliot,128,gen_fiction
Love in the Time of Cholera,Gabriel García Márquez,129,romance
Rebecca,Daphne Du Maurier,130,romance
Jude the Obscure,Thomas Hardy,131,gen_fiction
Twilight,Stephenie Meyer,132,romance
A Passage to India,E.M. Forster,133,political
The Plague,Albert Camus,134,gen_fiction
Nicholas Nickleby,Charles Dickens,135,bildung
The Pearl,John Steinbeck,136,gen_fiction
Ethan Frome,Edith Wharton,137,gen_fiction
The Tale of Genji,Murasaki Shikibu,138,gen_fiction
The Giver,Lois Lowry,139,scifi
The Alchemist,Paulo Coelho,140,gen_fiction
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,141,gen_fiction
Robinson Crusoe,Daniel Defoe,142,action
Tender is the Night,F. Scott Fitzgerald,143,gen_fiction
The Idiot,Fyodor Dostoyevsky,144,history
Hatchet,Gary Paulsen,145,action
The Kite Runner,Khaled Hosseini,146,bildung
One Flew Over the Cuckoo's Nest,Ken Kesey,147,gen_fiction
The Portrait of a Lady,Henry James,148,gen_fiction
The Outsiders,S.E. Hinton,149,gen_fiction
Ben-Hur,Lew Wallace,150,history
The Mayor of Casterbridge,Thomas Hardy,151,gen_fiction
"Cry, The Beloved Country",Alan Paton,152,political
The Last Battle,C.S. Lewis,153,fantasy
Captains Courageous,Rudyard Kipling,154,bildung
The Castle,Franz Kafka,155,allegories
The Metamorphosis,Franz Kafka,156,gen_fiction
The Magic Mountain (Der Zauberberg),Thomas Mann,157,bildung
James and the Giant Peach,Roald Dahl,158,gen_fiction
The Horse and His Boy,C.S. Lewis,159,fantasy
Angels & Demons,Dan Brown,160,thrillers
The Voyage of the Dawn Treader,C.S. Lewis,161,fantasy
The Bell Jar,Sylvia Plath,162,gen_fiction
Women in Love,D.H. Lawrence,163,gen_fiction
The Yearling,Marjorie Kinnan Rawlings,164,gen_fiction
O Pioneers!,Willa Cather,165,gen_fiction
The Handmaid's Tale,Margaret Atwood,166,gen_fiction
The Moonstone,Wilkie Collins,167,mystery
The Old Curiosity Shop,Charles Dickens,168,gen_fiction
Little Dorrit,Charles Dickens,169,gen_fiction
Prince Caspian: The Return to Narnia,C.S. Lewis,170,fantasy
Sister Carrie,Theodore Dreiser,171,gen_fiction
