Title,Year
in search of lost time,1913.0
ulysses,1922.0
don quixote,1605.0
one hundred years of solitude,1967.0
great gatsby,1925.0
moby dick,1851.0
war and peace,1869.0
hamlet,1601.0
odyssey,-700.0
madame bovary,1857.0
divine comedy,1472.0
lolita,1955.0
brothers karamazov,1880.0
crime and punishment,1866.0
wuthering heights,1847.0
catcher in the rye,1945.0
pride and prejudice,1813.0
adventures of huckleberry finn,1884.0
anna karenina,1877.0
alice's adventures in wonderland,1865.0
iliad,-700.0
to the lighthouse,1927.0
catch-22,1961.0
heart of darkness,1899.0
sound and the fury,1929.0
nineteen eighty four,1949.0
great expectations,1861.0
one thousand and one nights,1706.0
grapes of wrath,1939.0
"absalom, absalom!",1936.0
invisible man,1952.0
to kill a mockingbird,1960.0
trial,1925.0
red and the black,1830.0
middlemarch,1871.0
gulliver's travels,1726.0
beloved,1987.0
mrs. dalloway,1925.0
stories of anton chekhov,1961.0
stranger,1946.0
jane eyre,1847.0
aeneid,-19.0
collected fiction,1935.0
sun also rises,1926.0
david copperfield,1850.0
tristram shandy,1759.0
leaves of grass,1855.0
magic mountain,1924.0
a portrait of the artist as a young man,1917.0
midnight's children,1981.0
oedipus the king,-429.0
candide,1759.0
lord of the rings,1954.0
idiot,1868.0
les misérables,1862.0
a passage to india,1924.0
old man and the sea,1952.0
things fall apart,1958.0
emma,1815.0
for whom the bell tolls,1940.0
complete stories of franz kafka,1971.0
metamorphosis,1915.0
portrait of a lady,1881.0
frankenstein,1831.0
pale fire,1962.0
antigone,-442.0
as i lay dying,1930.0
color purple,1982.0
possessed,1872.0
gone with the wind,1937.0
lord of the flies,1954.0
brave new world,1931.0
complete tales and poems of edgar allan poe,1975.0
age of innocence,1920.0
dead souls,1842.0
on the road,1957.0
good soldier,1915.0
animal farm,1946.0
orlando,1923.0
canterbury tales,1380.0
vanity fair,1847.0
under the volcano,1947.0
waste land,1965.0
a farewell to arms,1929.0
journey to the end of night,1932.0
castle,1926.0
a sentimental education,1869.0
scarlet letter,1850.0
slaughterhouse-five,1969.0
handmaid's tale,1985.0
charlotte's web,1952.0
native son,1940.0
charterhouse of parma,1839.0
paradise lost,1667.0
gargantua and pantagruel,1532.0
poems of emily dickinson,1955.0
faust,1808.0
