Title,Author,Rank,Genre,Year,Approx. sales (in millions),Bestseller
don quixote,Miguel de Cervantes,1,action,1605.0,<10,No
alice's adventures in wonderland,Lewis Carroll,2,fantasy,1865.0,<10,No
adventures of huckleberry finn,Mark Twain,3,action,1884.0,20-50,Yes
adventures of tom sawyer,Mark Twain,4,action,1876.0,<10,No
treasure island,Robert Louis Stevenson,5,action,1881.0,<10,No
pride and prejudice,Jane Austen,6,romance,1813.0,20-50,Yes
wuthering heights,Emily Brontë,7,Fiction,1847.0,<10,No
jane eyre,Charlotte Brontë,8,romance,1847.0,<10,No
moby dick,Herman Melville,9,Fiction,1851.0,<10,No
scarlet letter,Nathaniel Hawthorne,10,Fiction,1850.0,<10,No
gulliver's travels,Jonathan Swift,11,fantasy,1726.0,<10,No
pilgrim's progress,John Bunyan,12,allegories,1678.0,<10,No
a christmas carol,Charles Dickens,13,Fiction,1843.0,<10,No
david copperfield,Charles Dickens,14,bildung,1850.0,<10,No
a tale of two cities,Charles Dickens,15,history,1859.0,>100,Yes
little women,Louisa May Alcott,16,Fiction,1868.0,<10,No
great expectations,Charles Dickens,17,bildung,1861.0,<10,No
hobbit,J.R.R. Tolkien,18,fantasy,1937.0,>100,Yes
frankenstein,Mary Shelley,19,horror,1831.0,<10,No
oliver twist,Charles Dickens,20,bildung,,<10,No
uncle tom's cabin,Harriet Beecher Stowe,21,political,1852.0,<10,No
crime and punishment,Fyodor Dostoyevsky,22,Fiction,1866.0,<10,No
madame bovary,Gustave Flaubert,23,Fiction,1857.0,<10,No
lord of the rings,J.R.R. Tolkien,24,fantasy,1954.0,<10,No
dracula,Bram Stoker,25,Fiction,1897.0,<10,No
three musketeers,Alexandre Dumas,26,history,1844.0,<10,No
brave new world,Aldous Huxley,27,Fiction,1931.0,<10,No
war and peace,Leo Tolstoy,28,history,1869.0,20-50,Yes
to kill a mockingbird,Harper Lee,29,Fiction,1960.0,20-50,Yes
wizard of oz,L. Frank Baum,30,fantasy,1900.0,<10,No
les misérables,Victor Hugo,31,Fiction,1862.0,<10,No
secret garden,Frances Hodgson Burnett,32,Fiction,1911.0,<10,No
animal farm,George Orwell,33,political,1946.0,<10,No
great gatsby,F. Scott Fitzgerald,34,Fiction,1925.0,20-50,Yes
little prince,Antoine de Saint-Exupéry,35,Fiction,1943.0,>100,Yes
call of the wild,Jack London,36,action,1903.0,<10,No
twenty thousand leagues under the sea,Jules Verne,37,scifi,1870.0,<10,No
anna karenina,Leo Tolstoy,38,romance,1877.0,<10,No
