1,Essays,Michel de Montaigne,1580
2,Walden,Henry David Thoreau,1854
3,Confessions ,Augustine,398
4,The Interpretation of Dreams,Sigmund Freud,1899
5,The Prince,Niccolo Machiavelli,1532
6,The Diary of a Young Girl,Anne Frank,1944
7,The Autobiography of Malcolm X,Alex Haley,1965
8,The Confessions of Jean-Jacques Rousseau,Jean-Jacques Rousseau,1782
9,Silent Spring,Rachel Carson,1962
10,The Complete Works of Plato,Plato,-347
11,Pensées,Blaise Pascal,1670
12,On the Origin of Species,Charles Darwin,1859
13,In Cold Blood,Truman Capote,1966
14,The Elements of Style,"William Strunk, Jr, E. B. White",1918
15,The Double Helix: A Personal Account of the Discovery of the Structure of DNA,James D. Watson,1968
16,A Room of One's Own,Virginia Woolf,1929
17,Relativity,Albert Einstein,1917
18,"Look Homeward, Angel",Thomas Wolfe,1929
19,Homage to Catalonia,George Orwell,1938
20,"Speak, Memory",Vladimir Nabokov,1940
21,"The General Theory of Employment, Interest and Money",John Maynard Keynes,1936
22,Democracy in America,Alexis de Tocqueville,1840
23,The Second World War,Winston Churchill,1953
24,Communist Manifesto,"Karl Marx, Friedrich Engels",1848
25,Facundo,Domingo Faustino Sarmiento,1845
26,Black Lamb and Grey Falcon,Rebecca West,1941
27,The Education of Henry Adams,Henry Adams,1918
28,Out of Africa,Isak Dinesen,1937
29,Das Kapital,Karl Marx,1867
30,The Structure of Scientific Revolutions,Thomas Kuhn,1962
31,Dispatches,Michael Herr,1977
32,The Gulag Archipelago,Aleksandr Solzhenitsyn,1973
33,I Know Why the Caged Bird Sings,Maya Angelou,1969
34,The Civil War,Shelby Foote,1974
35,The Essential Writings of Ralph Waldo Emerson,Ralph Waldo Emerson,1882
36,If This Is a Man,Primo Levi,1947
37,The Histories of Herodotus,Herodotus,-420
38,The Principles of Psychology,Will James,1890
39,Collected Essays of George Orwell,George Orwell,1961
40,The Electric Kool-Aid Acid Test,Tom Wolfe,1968
41,The Art of War,Sun Zi,-200
42,Civilization and Its Discontents,Sigmund Freud,1929
43,The Death and Life of Great American Cities,Jane Jacobs,1961
44,Meditations,Marcus Aurelius,167
45,The Life of Samuel Johnson,James Boswell,1823
46,The Snow Leopard,Peter Matthiessen,1978
47,Selected Essays of T. S. Eliot,T. S. Eliot,1932
48,The Right Stuff,Tom Wolfe,1979
49,The Road to Serfdom,Friedrich von Hayek,1944
50,Leviathan,Thomas Hobbes,1651
51,R. E. Lee,Douglas Southall Freeman,1934
52,Discourse on Method,Rene Descartes,1637
53,The Varieties of Religious Experience,Will James,1902
54,The Liberal Imagination,Lionel Trilling,1950
55,Annals,Cornelius Tacitus,120
56,Angela's Ashes: A Memoir,Frank McCourt,1996
57,Oxford English Dictionary,Oxford University Press,1884
58,The Second Sex,Simone de Beauvoir,1949
59,Mere Christianity,C. S. Lewis,1942
60,The History of the Peloponnesian War,Thucydides,-450
61,Moveable Feast,Ernest Hemingway,1964
62,The Autobiography of Alice B. Toklas,Gertrude Stein,1933
63,The Origins of Totalitarianism,Hannah Arendt,1951
64,Parallel Lives,Plutarch,120
65,A Brief History of Time,Stephen Hawking,
66,Orthodoxy,G. K. Chesterton,1908
67,Philosophical Investigations,Ludwig Wittgenstein,1953
68,Night,Elie Wiesel,1960
69,The Affluent Society,John Kenneth Galbraith,1958
70,Mythology,Edith Hamilton,1942
71,The Open Society,Karl Popper,1945
72,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,1995
73,Phaedo,Plato,-399
74,The Seven Storey Mountain,Thomas Merton,1948
75,Hiroshima,John Hersey,1946
76,Dialogue Concerning the Two Chief World Systems,Galileo,1632
77,Let Us Now Praise Famous Men,James Agee,1941
78,Pragmatism,Will James,1907
79,Ethics,Baruch de Spinoza,1676
80,The Making of the Atomic Bomb,Richard Rhodes,1988
81,The Federalist Papers,"Alexander Hamilton, James Madison, John Jay",1788
82,Beyond Good and Evil,Friedrich Nietzsche,1886
83,A Study of History,Arnold J. Toynbee,1961
84,Corpus Aristotelicum,Aristotle,-400
85,Three Essays on the Theory of Sexuality,Sigmund Freud,1905
86,Wild Swans: Three Daughters of China,Jung Chang,1991
87,The Seven Pillars of Wisdom,T. E. Lawrence,1926
88, The Feynman Lectures on Physics,Richard P. Feynman,1995
89,The Decline and Fall of the Roman Empire,Edward Gibbon,1776
90,The Golden Bough,James George Frazer,1890
91,Analects,Confucius,-350
92,Quotations from Chairman Mao,Mao,1964
93,Samuel Johnson,Walter Jackson Bate,1977
94,Slouching Towards Bethlehem,Joan Didion,1968
95,Tao Te Ching,Lao Tsu,-300
96,The Year of Magical Thinking,Joan Didion,2005
97,The Souls of Black Folk,W. E. B. Du Bois,1903
98,Black Boy,Richard Wright,1945
99,The Woman Warrior: Memoirs of a Girlhood Among Ghosts,Maxine Hong Kingston,1975
100,Civil Disobedience,Henry David Thoreau,1849
101,Autobiographies,W. B. Yeats,1926
102,On Writing,Stephen King,2000
103,Battle Cry of Freedom,James M. McPherson,1988
104,Memoirs From Beyond the Grave,François René De Chateaubriand,1849
105,Lives of the Caesars,Suetonius,121
106,Persepolis,Marjane Satrapi,2000
107,The Abolition of Man,C. S. Lewis,1943
108,Jefferson and His Time,Dumas Malone,1948
109,Maus,Art Spiegelman,1986
110,A Supposedly Fun Thing I'll Never Do Again,David Foster Wallace,1997
111,Henry James,Leon Edel,1963
112,On the Genealogy of Morality,Friedrich Nietzsche,1887
113,On Liberty,John Stuart Mill,1859
114,Summa Theologica,Thomas Aquinas,1274
115,Encyclopedia Britannica,Encyclopedia Britannica,1771
116,Apology,Plato,-399
117,Desert Solitaire,Edward Abbey,1968
118,Truman,David McCullough,1992
119,The George Sand-Gustave Flaubert Letters,Gustave Flaubert,1921
120,Witness,Whittaker Chambers,1952
121,The Power Broker,Robert Caro,1974
122,The Immortal Life of Henrietta Lacks,Rebecca Skloot,
123,The Constitution of Liberty,Friedrich von Hayek,1960
124,An Enquiry Concerning Human Understanding,David Hume,1748
125,Capitalism and Freedom,Milton Friedman,1962
126,Modern Times,Paul Johnson,1983
127,"Capitalism, Socialism, and Democracy",Joseph A. Schumpeter,1942
128,Nadja,André Breton,1928
129,Testament Of Youth,Vera Brittain,1933
130,A Modest Proposal and Other Satirical Works,Jonathan Swift,1729
131,The Tipping Point,Malcolm Gladwell,2000
132,The Guns of August,Barbara Tuchman,1962
133,Life on the Mississippi,Mark Twain,1883
134,The Quest for Community,Robert Nisbet,1953
135,Institutes of the Christian Religion,John Calvin,1536
136,The Praise of Folly,Erasmus,1509
137,Profiles in Courage,John F. Kennedy,1955
138,The Joy of Cooking,"Irma S. Rombauer, Marion Rombauer Becker, Ethan Becker",1936
139,The Emperor,Ryszard Kapuscinski,1978
140,Rights of Man,Thomas Paine,1791
141,Poetics,Aristotle,-335
142,The City in History,Lewis Mumford,1961
143,Rameau's Nephew,Denis Diderot,1805
144,Fear and Trembling,Soren Kierkegaard,1843
145,The Waning of the Middle Ages,Johan Huizinga,1919
146,Man's Search for Meaning,Victor Frankl,1984
147,Good-Bye to All That,Robert Graves,1929
148,Being and Nothingness,Jean Paul Sartre,1943
149,The Feminine Mystique,Betty Friedan,1963
150,The Myth of Sisyphus,Albert Camus,1942
151,And the Band Played On,Randy Shilts,1987
152,Ten Days That Shook the World,John Reed,1919
153,On the Revolutions of the Heavenly Spheres,Nicolaus Copernicus,1543
154,Hippocratic Corpus,Hippocrates,-300
155,The Common Sense Book of Baby and Child Care,Benjamin Spock,1946
156,How to Win Friends and Influence People,Dale Carnegie,1936
157,Eminent Victorians,Lytton Strachey,1918
158,Tristes Tropiques,Claude Lévi-Strauss,1955
159,Journals: 1889-1913,André Gide,
160,History of My Life,Giacomo Casanova,1822
161,The Theory of the Leisure Class,Thorstein Veblen,1899
162,The Fire Next Time,James Baldwin,1963
163,"Roll, Jordan, Roll",Eugene Genovese,1972
164,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,1974
165,An American Dilemma,Gunnar Myrdal,1944
166,Christ Stopped at Eboli: The Story of a Year,Carlo Levi,1945
167,The Looming Tower,Lawrence Wright,2006
168,The Autobiography of Benjamin Franklin,Benjamin Franklin,1771
169,"Guns, Germs, and Steel",Jared Diamond,1997
170,The Mismeasure of Man,Stephen Jay Gould,1981
171,The Conservative Mind,Russell Kirk,1953
172,A Bright Shining Lie,Neil Sheehan,1988
173,Histories,Cornelius Tacitus,110
174,Aspects of the Novel,E. M. Forster,1927
175,Hell's Angels,Hunter S. Thompson,1965
176,Long Walk to Freedom: The Autobiography of Nelson Mandela,Nelson Mandela,1995
177,The Journal of Jules Renard,Jules Renard,1925
178,Up from Slavery,Booker T. Washington,1901
179,Children of Crisis,Robert Coles,1967
180,The Age of Reform,Richard Hofstadter,1955
181,The Frontier in American History,Frederick Jackson Turner,1920
182,The Omnivore's Dilemma,Michael Pollan,
183,A Heartbreaking Work of Staggering Genius,Dave Eggers,2000
184,Nature and Destiny of Man,Reinhold Niebuhr,1943
185,Up in the Old Hotel,Joseph Mitchell,1992
186,I Ching,China,-1400
187,A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah,
188,In the Heart of the Sea,Nathaniel Philbrick,2001
189,Common Ground,J. Anthony Lukas,1985
190,Main Currents in American Thought,Vernon L Parrington,1927
191,Notes of a Native Son,James Baldwin,1955
192,Freakonomics,"Steven D. Levitt, Stephen J. Dubner",2005
193,The Wealth of Nations,Adam Smith,1776
194,A Mathematician's Apology,G. H. Hardy,1940
195,Small Is Beautiful: Economics as if People Mattered,E. F. Schumacher,1973
196,A Sand County Almanac,Aldo Leopold,1949
197,Pilgrim at Tinker Creek,Annie Dillard,1975
198,Me Talk Pretty One Day,David Sedaris,2000
199,The Selfish Gene,Richard Dawkins,
200,Principia Mathematica,Issac Newton,1687
201,The Worst Journey in the World,Robert Falcon Scott,1922
202,Encyclopédie,Denis Diderot,1751
203,The Rise and Fall of the Third Reich,William L. Shirer,1960
204,Patriotic Gore,Edmund Wilson,1962
205,Words,Jean Paul Sartre,1963
206,The Man Who Mistook His Wife for a Hat,Oliver Sacks,
